Time,Signal
0.0,0.0
0.001,0.03141113121831988
0.002,0.06279349820730384
0.003,0.0941183751066754
0.004,0.1253571127401481
0.005,0.15648117682217572
0.006,0.18746218600262332
0.007,0.21827194969569166
0.008,0.24888250563973238
0.009000000000000001,0.27926615713497505
0.01,0.3093955099066433
0.011,0.33924350854146934
0.012,0.3687834724462235
0.013000000000000001,0.3979891312775499
0.014,0.4268346597931565
0.015,0.4552947120752229
0.016,0.48334445507778523
0.017,0.5109596014508141
0.018000000000000002,0.5381164415947315
0.019,0.5647918749002029
0.02,0.5909634401291992
0.021,0.6166093448945398
0.022,0.6417084941964122
0.023,0.6662405179757002
0.024,0.6901857976453445
0.025,0.7135254915624212
0.026000000000000002,0.7362415594051159
0.027,0.7583167854203325
0.028,0.7797348005092799
0.029,0.8004801031200229
0.03,0.8205380789176877
0.031,0.8398950192047362
0.032,0.8585381380655084
0.033,0.8764555882110349
0.034,0.8936364755019721
0.035,0.9100708721293884
0.036000000000000004,0.9257498284350297
0.037,0.9406653833546349
0.038,0.9548105734698134
0.039,0.9681794406559825
0.04,0.9807670383158511
0.041,0.9925694361899415
0.042,1.0035837237376688
0.043000000000000003,1.0138080120845152
0.044,1.0232414345328817
0.045,1.0318841456362353
0.046,1.039737318838203
0.047,1.0468031426803115
0.048,1.0530848155840935
0.049,1.0585865392153107
0.05,1.06331351044005
0.051000000000000004,1.0672719118844558
0.052000000000000005,1.0704689011118345
0.053,1.072912598432832
0.054,1.0746120733663322
0.055,1.0755773297706215
0.056,1.0758192896662704
0.057,1.0753497757740273
0.058,1.0741814927928437
0.059000000000000004,1.0723280074449422
0.06,1.0698037273165832
0.061,1.066623878524896
0.062,1.0628044822428029
0.063,1.058362330115688
0.064,1.0533149586050328
0.065,1.0476806222957564
0.066,1.0414782662054767
0.067,1.034727497135316
0.068,1.0274485541032385
0.069,1.019662277902201
0.07,1.0113900798266469
0.07100000000000001,1.0026539096120395
0.07200000000000001,0.993476222633261
0.073,0.9838799464087361
0.074,0.9738884464581354
0.075,0.9635254915624212
0.076,0.9528152184758468
0.077,0.94178209614029
0.078,0.9304508894530162
0.079,0.9188466226395836
0.08,0.9069945422841671
0.081,0.8949200800700634
0.082,0.882648815283537
0.083,0.8702064371345115
0.084,0.8576187069478568
0.085,0.844911420279207
0.08600000000000001,0.8321103690093455
0.08700000000000001,0.8192413034712254
0.088,0.8063298946636257
0.089,0.7934016966053435
0.09,0.7804821088835922
0.091,0.7675963394500076
0.092,0.7547693677173126
0.093,0.7420259080092448
0.094,0.7293903734158569
0.095,0.716886840105715
0.096,0.7045390121458681
0.097,0.6923701868797285
0.098,0.6804032209122166
0.099,0.6686604967506504
0.1,0.6571638901489172
0.101,0.6459347382014758
0.10200000000000001,0.6349938082326538
0.10300000000000001,0.6243612675255736
0.10400000000000001,0.6140566539338495
0.105,0.6040988474179254
0.106,0.5945060425466222
0.107,0.5852957220030657
0.108,0.5764846311327552
0.109,0.5680887535700332
0.11,0.5601232879776814
0.111,0.5526026259327879
0.112,0.5455403309903915
0.113,0.5389491189547286
0.114,0.5328408393861924
0.115,0.5272264583703519
0.116,0.5221160425735761
0.117,0.5175187446079785
0.11800000000000001,0.5134427897265353
0.11900000000000001,0.5098954638673252
0.12,0.5068831030639271
0.121,0.5044110842370606
0.122,0.5024838173805853
0.123,0.5011047391529933
0.124,0.5002763078835216
0.125,0.5
0.126,0.5002763078835215
0.127,0.5011047391529933
0.128,0.5024838173805852
0.129,0.5044110842370606
0.13,0.5068831030639273
0.131,0.5098954638673253
0.132,0.5134427897265355
0.133,0.5175187446079785
0.134,0.522116042573576
0.135,0.5272264583703521
0.136,0.5328408393861923
0.137,0.5389491189547285
0.138,0.5455403309903916
0.139,0.5526026259327877
0.14,0.5601232879776812
0.14100000000000001,0.5680887535700334
0.14200000000000002,0.5764846311327554
0.14300000000000002,0.5852957220030656
0.14400000000000002,0.5945060425466223
0.145,0.6040988474179252
0.146,0.6140566539338492
0.147,0.6243612675255739
0.148,0.6349938082326536
0.149,0.6459347382014758
0.15,0.6571638901489172
0.151,0.6686604967506502
0.152,0.6804032209122166
0.153,0.6923701868797284
0.154,0.7045390121458678
0.155,0.7168868401057149
0.156,0.7293903734158568
0.157,0.7420259080092451
0.158,0.7547693677173126
0.159,0.7675963394500076
0.16,0.7804821088835923
0.161,0.7934016966053437
0.162,0.8063298946636257
0.163,0.8192413034712256
0.164,0.8321103690093457
0.165,0.8449114202792068
0.166,0.8576187069478571
0.167,0.8702064371345116
0.168,0.8826488152835371
0.169,0.8949200800700636
0.17,0.9069945422841671
0.171,0.9188466226395837
0.17200000000000001,0.9304508894530165
0.17300000000000001,0.9417820961402898
0.17400000000000002,0.9528152184758467
0.17500000000000002,0.9635254915624216
0.176,0.9738884464581351
0.177,0.983879946408736
0.178,0.9934762226332612
0.179,1.0026539096120393
0.18,1.0113900798266469
0.181,1.0196622779022013
0.182,1.0274485541032383
0.183,1.034727497135316
0.184,1.0414782662054767
0.185,1.0476806222957562
0.186,1.053314958605033
0.187,1.058362330115688
0.188,1.0628044822428027
0.189,1.066623878524896
0.19,1.0698037273165835
0.191,1.0723280074449422
0.192,1.0741814927928437
0.193,1.0753497757740273
0.194,1.0758192896662702
0.195,1.0755773297706215
0.196,1.0746120733663322
0.197,1.0729125984328318
0.198,1.070468901111834
0.199,1.0672719118844558
0.2,1.06331351044005
0.201,1.0585865392153107
0.202,1.0530848155840933
0.203,1.0468031426803113
0.20400000000000001,1.039737318838203
0.20500000000000002,1.0318841456362353
0.20600000000000002,1.0232414345328817
0.20700000000000002,1.013808012084515
0.20800000000000002,1.0035837237376686
0.209,0.9925694361899415
0.21,0.9807670383158513
0.211,0.9681794406559827
0.212,0.9548105734698136
0.213,0.940665383354635
0.214,0.9257498284350297
0.215,0.9100708721293885
0.216,0.8936364755019723
0.217,0.8764555882110352
0.218,0.8585381380655084
0.219,0.8398950192047366
0.22,0.8205380789176882
0.221,0.800480103120023
0.222,0.7797348005092799
0.223,0.7583167854203328
0.224,0.7362415594051159
0.225,0.7135254915624214
0.226,0.6901857976453447
0.227,0.6662405179756999
0.228,0.6417084941964122
0.229,0.6166093448945401
0.23,0.590963440129199
0.231,0.5647918749002029
0.232,0.5381164415947315
0.233,0.510959601450814
0.234,0.48334445507778534
0.23500000000000001,0.4552947120752223
0.23600000000000002,0.42683465979315605
0.23700000000000002,0.39798913127754965
0.23800000000000002,0.36878347244622306
0.23900000000000002,0.3392435085414691
0.24,0.30939550990664355
0.241,0.2792661571349755
0.242,0.24888250563973302
0.243,0.21827194969569164
0.244,0.18746218600262388
0.245,0.15648117682217644
0.246,0.12535711274014813
0.247,0.0941183751066756
0.248,0.06279349820730468
0.249,0.03141113121832001
0.25,3.0616169978683826e-16
0.251,-0.03141113121831939
0.252,-0.06279349820730407
0.253,-0.09411837510667499
0.254,-0.12535711274014752
0.255,-0.15648117682217583
